state_name,total_submitted_results,out_of_how_many,name_of_lga,polling_units_name,pu_sub_name,polling_units_count,pu_code
ADAMAWA,166094,176846,DEMSA,DWAM,KAWON DOWAYA/ PRY. SCH.,16,02/01/06/003
ADAMAWA,166094,176846,DEMSA,DONG,KWA WAJA,13,02/01/05/010
ADAMAWA,166094,176846,DEMSA,DONG,URO II/ OLD MARKET PREMISES,13,02/01/05/005
ADAMAWA,166094,176846,DEMSA,DWAM,GOLI DWAM,16,02/01/06/009
ADAMAWA,166094,176846,DEMSA,DWAM,GWASALA,16,02/01/06/013
ADAMAWA,166094,176846,DEMSA,DWAM,DWAM PARE/ PLAYING GROUND,16,02/01/06/001
ADAMAWA,166094,176846,DEMSA,DONG,BIDOMA,13,02/01/05/006
ADAMAWA,166094,176846,DEMSA,DONG,FARABARAUNE/ FARABARAUNE PRY. SCH.,13,02/01/05/001
ADAMAWA,166094,176846,DEMSA,DONG,NGBEKENDEWE II,13,02/01/05/009
ADAMAWA,166094,176846,DEMSA,DONG,NGBAGANGRATO,13,02/01/05/012
ADAMAWA,166094,176846,DEMSA,DWAM,ZURAN I,16,02/01/06/016
ADAMAWA,166094,176846,DEMSA,DWAM,DAKANTA DWAM,16,02/01/06/007
ADAMAWA,166094,176846,DEMSA,DWAM,DOWAYA II,16,02/01/06/010
ADAMAWA,166094,176846,DEMSA,DONG,JANAWURI II,13,02/01/05/008
ADAMAWA,166094,176846,DEMSA,DONG,KWANA PRY. SCH.,13,02/01/05/007
ADAMAWA,166094,176846,DEMSA,DONG,NGBEKENDEWE/ PRY. SCH. GROUND,13,02/01/05/003
ADAMAWA,166094,176846,DEMSA,DWAM,DOWAYA III,16,02/01/06/011
ADAMAWA,166094,176846,DEMSA,DWAM,ZURAN/ FOOTBALL PLAYING GROUND,16,02/01/06/006
ADAMAWA,166094,176846,DEMSA,DWAM,KWALE/ KWALE PRY. SCH.,16,02/01/06/004
ADAMAWA,166094,176846,DEMSA,DWAM,NDABONDO DWAM,16,02/01/06/008
ADAMAWA,166094,176846,DEMSA,DONG,URO I/ DONG PRY. SCH.,13,02/01/05/004
ADAMAWA,166094,176846,DEMSA,DONG,NIRO,13,02/01/05/011
ADAMAWA,166094,176846,DEMSA,DONG,URO NOGWE,13,02/01/05/013
ADAMAWA,166094,176846,DEMSA,DONG,JANAWURI/ JANAWURI PRY. SCH.,13,02/01/05/002
ADAMAWA,166094,176846,DEMSA,DWAM,MALIKI,16,02/01/06/014
ADAMAWA,166094,176846,DEMSA,DWAM,DWAM SAKATO/ PRY. SCH.,16,02/01/06/002
ADAMAWA,166094,176846,DEMSA,DWAM,SABON GARI/ PRY. SCH.,16,02/01/06/005
ADAMAWA,166094,176846,DEMSA,DWAM,SABON GARI HEALTH CENTRE,16,02/01/06/015
ADAMAWA,166094,176846,DEMSA,DWAM,DOWAYA IV,16,02/01/06/012
NIGER,166094,176846,MARIGA,GULBIN - BOKA,KANGI COMMUNITY SCHOOL,25,26/15/04/025
NIGER,166094,176846,MARIGA,GULBIN - BOKA,SARKIN GARIN KWIMO,25,26/15/04/018
NIGER,166094,176846,MARIGA,GULBIN - BOKA,KWAIMO PRIMARY SCHOOL,25,26/15/04/013
NIGER,166094,176846,MARIGA,BOBI,UNG. SARKIN HAUSAWA,29,26/15/03/029
NIGER,166094,176846,MARIGA,BOBI,KASUWAN DOGO,29,26/15/03/003
NIGER,166094,176846,MARIGA,BOBI,KASUWAN KWAYA,29,26/15/03/023
NIGER,166094,176846,MARIGA,GULBIN - BOKA,BATUREN NOMA  II,25,26/15/04/003
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. HAKIMI (MAIZAGO),25,26/15/04/020
NIGER,166094,176846,MARIGA,GULBIN - BOKA,LAMBA ABANI,25,26/15/04/015
NIGER,166094,176846,MARIGA,BOBI,UNG. SARKI URUMA  I,29,26/15/03/018
NIGER,166094,176846,MARIGA,BOBI,UNG. GESHE KARUWA,29,26/15/03/015
NIGER,166094,176846,MARIGA,BOBI,UNG. GATULMI,29,26/15/03/014
NIGER,166094,176846,MARIGA,BOBI,UNG. UKURU,29,26/15/03/021
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. SHADADI G/BOKA,25,26/15/04/010
NIGER,166094,176846,MARIGA,GULBIN - BOKA,HUNYUN AMARYA,25,26/15/04/011
NIGER,166094,176846,MARIGA,GULBIN - BOKA,SARKIN GARIN MAHORO,25,26/15/04/019
NIGER,166094,176846,MARIGA,BOBI,UNG. GALADIMA,29,26/15/03/013
NIGER,166094,176846,MARIGA,BOBI,RAGADA SABUWA,29,26/15/03/008
NIGER,166094,176846,MARIGA,BOBI,UN. SARKIN BOBI URUMA  II,29,26/15/03/009
NIGER,166094,176846,MARIGA,BOBI,UNG. MARADAWA,29,26/15/03/022
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. KUDU G/BOKA,25,26/15/04/009
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. ATTA,25,26/15/04/001
NIGER,166094,176846,MARIGA,GULBIN - BOKA,MASABA,25,26/15/04/017
NIGER,166094,176846,MARIGA,BOBI,DURGU AREWA  I,29,26/15/03/001
NIGER,166094,176846,MARIGA,BOBI,UNG. BALA (MATARI),29,26/15/03/012
NIGER,166094,176846,MARIGA,BOBI,TASHAN RANDA PRIMARY SCHOOL,29,26/15/03/026
NIGER,166094,176846,MARIGA,BOBI,UNG. DUKAWA KWANAN WAKE,29,26/15/03/028
NIGER,166094,176846,MARIGA,GULBIN - BOKA,KURA,25,26/15/04/014
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. YAMMA G/BOKA,25,26/15/04/008
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. IBBE,25,26/15/04/012
NIGER,166094,176846,MARIGA,BOBI,UNG. MA'AJI,29,26/15/03/017
NIGER,166094,176846,MARIGA,BOBI,UNG. URUMA,29,26/15/03/020
NIGER,166094,176846,MARIGA,BOBI,MAIGOGE  I,29,26/15/03/005
NIGER,166094,176846,MARIGA,GULBIN - BOKA,RIGWOGU PRIMARY SCHOOL,25,26/15/04/024
NIGER,166094,176846,MARIGA,GULBIN - BOKA,BATUREN NOMA  I,25,26/15/04/002
NIGER,166094,176846,MARIGA,GULBIN - BOKA,CHIFU MADINBU,25,26/15/04/004
NIGER,166094,176846,MARIGA,BOBI,DURGU AREWA  II,29,26/15/03/002
NIGER,166094,176846,MARIGA,BOBI,TASHAN TUKURA,29,26/15/03/024
NIGER,166094,176846,MARIGA,BOBI,UNG. DABA,29,26/15/03/025
NIGER,166094,176846,MARIGA,BOBI,UNG. HAUSAWA (MATARI),29,26/15/03/016
NIGER,166094,176846,MARIGA,GULBIN - BOKA,GULBIN LI'OJI,25,26/15/04/016
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. GABAS G/BOKA  I,25,26/15/04/006
NIGER,166094,176846,MARIGA,GULBIN - BOKA,WAR,25,26/15/04/023
NIGER,166094,176846,MARIGA,BOBI,SARKIN KASUWAN BOBI,29,26/15/03/010
NIGER,166094,176846,MARIGA,BOBI,MAIGOGE  II,29,26/15/03/006
NIGER,166094,176846,MARIGA,BOBI,DURGU KUDU,29,26/15/03/004
NIGER,166094,176846,MARIGA,BOBI,UNG. MATARI,29,26/15/03/007
NIGER,166094,176846,MARIGA,GULBIN - BOKA,DANDAURA,25,26/15/04/005
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. HAUSAWA,25,26/15/04/021
NIGER,166094,176846,MARIGA,GULBIN - BOKA,UNG. GABAS G/BOKA  II,25,26/15/04/007
NIGER,166094,176846,MARIGA,BOBI,UNG. TSOHON / GALADIMA,29,26/15/03/019
NIGER,166094,176846,MARIGA,BOBI,TUDUN TSIRA,29,26/15/03/011
NIGER,166094,176846,MARIGA,BOBI,UNG. YADI SABUWA,29,26/15/03/027
NIGER,166094,176846,MARIGA,GULBIN - BOKA,URO CHIFU,25,26/15/04/022
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,DARNA  TSOLAWO HILI,12,33/08/05/012
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"DABAGIN TANKARI, DABAGIN TANKARI",12,33/08/05/011
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,YARDARNA,12,33/08/05/010
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"DANTULLE, DANTULLE",12,33/08/05/009
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"DABAGIN TANKARI, D/TANKARI",12,33/08/05/008
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,ZANGO ZANGO,12,33/08/05/007
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"GIDAN ALASAN, G/ALASAN",12,33/08/05/006
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"KALABA, KALABA",12,33/08/05/005
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,DANKADU,12,33/08/05/004
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,BIRNIN ISAH,12,33/08/05/003
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,GIDAN RANA,12,33/08/05/002
SOKOTO,166094,176846,ILLELA,DARNE/ TSOLAWO,"DARNA TSOLAWO, MAKARANTA",12,33/08/05/001
SOKOTO,166094,176846,ILLELA,DARNA/ SABON GARI,"DARNA SABON GARI, SHIYAR GALADIMA",19,33/08/04/001
SOKOTO,166094,176846,ILLELA,DARNA/ SABON GARI,"GIDAN TUDU, MAKARANTA",19,33/08/04/002
SOKOTO,166094,176846,ILLELA,DARNA/ SABON GARI,"TUNGAR ZANGO, MAKARANTA",19,33/08/04/003
SOKOTO,166094,176846,ILLELA,DARNA/ SABON GARI,"DARNA KILIYA, MAKARANTA",19,33/08/04/004
SOKOTO,166094,176846,ILLELA,DARNA/ SABON GARI,"TSIRA RAI, G./SALE",19,33/08/04/005
