state_name,total_submitted_results,out_of_how_many,number_of_lgas,number_of_wards,ward_name,polling_units,submitted_results,lga_url
AKWA IBOM,167443,176846,31,11,EKET (LGA: 03) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397d4d89fc3a883de0e8
AKWA IBOM,167443,176846,31,10,EASTERN OBOLO (LGA: 02) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397d4d89fc3a883de0e7
AKWA IBOM,167443,176846,31,10,ESIT EKET (UQUO) (LGA: 04) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397d4d89fc3a883de0e9
AKWA IBOM,167443,176846,31,11,IBIONO IBOM (LGA: 10) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0ef
ANAMBRA,167443,176846,21,11,AYAMELUM (LGA: 02) - ANAMBRA,191.0,54.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de106
ANAMBRA,167443,176846,21,10,ANAMBRA WEST (LGA: 04) - ANAMBRA,164.0,164.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de108
AKWA IBOM,167443,176846,31,10,IBESIKPO ASUTAN (LGA: 09) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0ee
AKWA IBOM,167443,176846,31,11,ETINAN (LGA: 07) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0ec
ANAMBRA,167443,176846,21,20,AGUATA (LGA: 01) - ANAMBRA,342.0,342.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de105
ANAMBRA,167443,176846,21,15,ANAMBRA EAST (LGA: 03) - ANAMBRA,241.0,241.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de107
ANAMBRA,167443,176846,21,12,EKWUSIGO (LGA: 09) - ANAMBRA,193.0,106.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de10d
AKWA IBOM,167443,176846,31,11,IKOT EKPENE (LGA: 14) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0f3
AKWA IBOM,167443,176846,31,10,INI (LGA: 15) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0f4
ANAMBRA,167443,176846,21,14,DUNUKOFIA (LGA: 08) - ANAMBRA,165.0,164.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de10c
ANAMBRA,167443,176846,21,14,AWKA NORTH (LGA: 06) - ANAMBRA,150.0,150.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de10a
AKWA IBOM,167443,176846,31,10,NSIT IBOM (LGA: 20) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0f9
AKWA IBOM,167443,176846,31,11,ESSIEN UDIM (LGA: 05) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397d4d89fc3a883de0ea
ANAMBRA,167443,176846,21,10,NNEWI NORTH (LGA: 14) - ANAMBRA,318.0,317.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de112
ANAMBRA,167443,176846,21,18,NJIKOKA (LGA: 13) - ANAMBRA,231.0,224.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de111
AKWA IBOM,167443,176846,31,11,IKONO (LGA: 12) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0f1
AKWA IBOM,167443,176846,31,10,NSIT ATAI (LGA: 19) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397e4d89fc3a883de0f8
ANAMBRA,167443,176846,21,12,IDEMILI NORTH (LGA: 10) - ANAMBRA,467.0,161.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de10e
ANAMBRA,167443,176846,21,20,NNEWI SOUTH (LGA: 15) - ANAMBRA,297.0,278.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de113
AKWA IBOM,167443,176846,31,11,ABAK (LGA: 01) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397d4d89fc3a883de0e6
AKWA IBOM,167443,176846,31,10,ORON (LGA: 25) - AKWA IBOM,,,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f397f4d89fc3a883de0fe
ANAMBRA,167443,176846,21,12,IDEMILI-SOUTH (LGA: 11) - ANAMBRA,243.0,113.0,https://inecelectionresults.ng/elections/63f8f25b594e164f8146a213/context/ward/lga/5f0f39804d89fc3a883de10f
